Name: 汕头综合, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=572621&tk=822270345d4c$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头综合, URL: http://113.100.173.17:8888/udp/239.77.1.130:5146$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://120.77.205.62:8087/rtp/239.253.43.43:5146$组播源, Date: None, Delay: 206 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.65.9.224:4013/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-28, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://14.19.168.64:4022/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://61.145.208.25:9090/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.93.55.81:5555/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://125.89.163.44:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.65.9.20:4016/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-27, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://183.33.57.62:8686/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.111.17.249:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.111.21.17:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.90.47.13:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://14.112.86.85:4022/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://14.145.225.183:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
